persona,role,word,weight
3,Agent,hidden,0.002001174
3,Agent,whispered,0.0020011694
3,Agent,learned,0.0020011691
3,Agent,bought,0.0020011691
3,Agent,coming,0.002000926
3,Agent,come,0.0020009258
3,Agent,struggled,0.002000733
3,Agent,took,0.0019955332
3,Agent,think,0.0019955332
3,Agent,understood,0.0019955332
3,Patient,propelled,0.0019988408
3,Patient,fit,0.0019988408
3,Patient,protecting,0.0019988408
3,Patient,explain,0.0019988408
3,Patient,showing,0.0019988408
3,Patient,warn,0.0019988406
3,Patient,bring,0.001998764
3,Patient,watch,0.001998764
3,Patient,noticed,0.0019386407
3,Patient,ask,0.0019151533
3,Possessive,sides,0.0020010718
3,Possessive,lap,0.0020010634
3,Possessive,tears,0.0020003542
3,Possessive,bed,0.0020000937
3,Possessive,daughter,0.0019998187
3,Possessive,back,0.0019998185
3,Possessive,wife,0.0019998185
3,Possessive,gardens,0.0019997573
3,Possessive,shadow,0.001999757
3,Possessive,age,0.001999757
3,Predicative,anxious,0.002001004
3,Predicative,able,0.001999259
3,Predicative,well,0.0019992588
3,Predicative,beautiful,0.001923428
3,Predicative,ill,0.0019234278
3,Predicative,happy,0.0017115282
3,Predicative,tired,0.0016587942
3,Predicative,old,0.0016056173
3,Predicative,girl,0.0016056173
3,Predicative,grateful,0.0015646353
4,Agent,slept,0.002001313
4,Agent,saw,0.0020008006
4,Agent,moved,0.0019995659
4,Agent,recognize,0.0019987857
4,Agent,leave,0.0019983638
4,Agent,kissed,0.0019976504
4,Agent,dared,0.0019960708
4,Agent,longed,0.001988314
4,Agent,drew,0.001988314
4,Agent,reply,0.0019883139
4,Patient,bathe,0.0020002679
4,Patient,keeping,0.0020002679
4,Patient,had,0.0020002679
4,Patient,considered,0.0020002679
4,Patient,fighting,0.0020002679
4,Patient,undressed,0.0020002679
4,Patient,love,0.0020002266
4,Patient,surprised,0.0020002266
4,Patient,watched,0.0020002266
4,Patient,led,0.0020002266
4,Possessive,mind,0.0019994886
4,Possessive,life,0.0019979307
4,Possessive,family,0.0019944264
4,Possessive,voice,0.0019944264
4,Possessive,face,0.0019915588
4,Possessive,father,0.0019830507
4,Possessive,maids,0.0019813802
4,Possessive,hand,0.0019560296
4,Possessive,dress,0.0019518652
4,Possessive,hair,0.001951865
4,Predicative,seamstress,0.0019818558
4,Predicative,outraged,0.0019818558
4,Predicative,slow,0.0019818556
4,Predicative,able,0.001981597
4,Predicative,ready,0.001981597
4,Predicative,clever,0.0019639283
4,Predicative,determined,0.0019639283
4,Predicative,certain,0.0015529536
4,Predicative,close,0.0014847548
4,Predicative,wife,0.0014840028
7,Agent,stood,0.0020009372
7,Agent,let,0.002000937
7,Agent,leaned,0.002000937
7,Agent,given,0.001999652
7,Agent,wanted,0.001999652
7,Agent,made,0.0019989794
7,Agent,have,0.001997431
7,Agent,sat,0.001991863
7,Agent,danced,0.0019890936
7,Agent,called,0.0019889069
7,Patient,ask,0.002000045
7,Patient,watching,0.0019993184
7,Patient,hate,0.0019976497
7,Patient,asked,0.0019904329
7,Patient,kept,0.0019811245
7,Patient,bought,0.0019811245
7,Patient,struck,0.0019811245
7,Patient,push,0.0019811245
7,Patient,educate,0.0019811245
7,Patient,made,0.0019811243
7,Possessive,cheek,0.0019997063
7,Possessive,expression,0.0019965442
7,Possessive,eyes,0.0019964613
7,Possessive,feet,0.0019874512
7,Possessive,own,0.0019874512
7,Possessive,bodies,0.0019823946
7,Possessive,strength,0.0019823946
7,Possessive,thigh,0.0019823946
7,Possessive,cigarette,0.0019823946
7,Possessive,car,0.0019823946
7,Predicative,funny,0.0019910017
7,Predicative,excited,0.0019908517
7,Predicative,older,0.0019908517
7,Predicative,ready,0.0019908517
7,Predicative,old,0.0019908517
7,Predicative,afraid,0.0019582259
7,Predicative,right,0.0018837344
7,Predicative,happy,0.0017806625
7,Predicative,glad,0.001729177
7,Predicative,rich,0.0015107314
